Number of installed apps: 318
Name=Visual Studio Community 2019, Version=16.11.2, Publisher=Microsoft Corporation
Name=Adobe Genuine Service, Version=undefined, Publisher=Adobe
Name=Angry IP Scanner, Version=3.7.6, Publisher=Angry IP Scanner
Name=Awesomium SDK, Version=1.6.3, Publisher=Khrona LLC
Name=FileZilla Client 3.55.0, Version=3.55.0, Publisher=Tim Kosse
Name=Google Chrome, Version=93.0.4577.82, Publisher=Google LLC
Name=Inno Setup version 6.2.0, Version=6.2.0, Publisher=jrsoftware.org
Name=MarkdownPad 2, Version=2.5.0.27920, Publisher=Apricity Software LLC
Name=Microsoft Azure Storage Emulator - v5.10, Version=5.10.19227.2113, Publisher=Microsoft Corporation
Name=Microsoft Edge, Version=94.0.992.31, Publisher=Microsoft Corporation
Name=Microsoft Edge Update, Version=1.3.151.27, Publisher=undefined
Name=Microsoft Edge WebView2 Runtime, Version=93.0.961.52, Publisher=Microsoft Corporation
Name=NirSoft BlueScreenView, Version=undefined, Publisher=undefined
Name=Nmap 7.91, Version=7.91, Publisher=Nmap Project
Name=Npcap, Version=1.10, Publisher=Nmap Project
Name=OWASP Zed Attack Proxy 2.10.0, Version=2.10.0, Publisher=OWASP ZAP
Name=PowerLed 2.87.3, Version=undefined, Publisher=TF-TOP
Name=PyCharm 2020.3.5, Version=203.7717.81, Publisher=JetBrains s.r.o.
Name=Wireshark 3.4.4 64-bit, Version=3.4.4, Publisher=The Wireshark developer community, https://www.wireshark.org
Name=Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664, Version=12.0.40664.0, Publisher=Microsoft Corporation
Name=Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501, Version=12.0.30501.0, Publisher=Microsoft Corporation
Name=vs_FileTracker_Singleton, Version=16.10.31303, Publisher=Microsoft Corporation
Name=Windows SDK Desktop Tools arm64, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Windows IoT Extension SDK, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=windows_toolscorepkg, Version=16.10.31306, Publisher=Microsoft Corporation
Name=vs_minshellmsires, Version=16.10.31303, Publisher=Microsoft Corporation
Name=Microsoft ASP.NET Diagnostic Pack for Visual Studio, Version=16.11.75.64347, Publisher=Microsoft Corporation
Name=WinRT Intellisense UAP - en-us, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Epic Online Services, Version=1.1.11.0, Publisher=Epic Games, Inc.
Name=Windows Simulator - ENU, Version=16.0.28522, Publisher=Microsoft Corporation
Name=Windows SDK for Windows Store Apps DirectX x86 Remote, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=vs_filehandler_amd64, Version=16.11.31503, Publisher=Microsoft Corporation
Name=icecap_collection_neutral, Version=16.10.31306, Publisher=Microsoft Corporation
Name=Microsoft .NET Core Runtime - 3.1.18 (x86), Version=24.72.30314, Publisher=Microsoft Corporation
Name=Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.28.29910, Version=14.28.29910, Publisher=Microsoft Corporation
Name=Microsoft .NET CoreRuntime SDK, Version=1.1.27004.0, Publisher=Microsoft Corporation
Name=Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005, Version=12.0.21005, Publisher=Microsoft Corporation
Name=Visual C++ Library CRT Desktop Appx Package, Version=14.29.30133, Publisher=Microsoft Corporation
Name=WinRT Intellisense PPI - en-us, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Windows SDK Desktop Libs x64, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Microsoft .NET Framework 4.7.2 Targeting Pack, Version=4.7.03062, Publisher=Microsoft Corporation
Name=Visual C++ Library CRT Appx Package, Version=14.29.30133, Publisher=Microsoft Corporation
Name=Windows SDK Desktop Tools x86, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Windows SDK for Windows Store Apps Libs, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=WinRT Intellisense IoT - Other Languages, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Microsoft ASP.NET Core 3.1.18 Shared Framework (x86), Version=3.1.18.21365, Publisher=Microsoft Corporation
Name=Java 8 Update 281, Version=8.0.2810.9, Publisher=Oracle Corporation
Name=Windows App Certification Kit SupportedApiList x86, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=vs_clickoncebootstrappermsires, Version=16.0.28329, Publisher=Microsoft Corporation
Name=Windows SDK for Windows Store Apps Contracts, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Windows SDK Desktop Libs arm, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=WinAppDeploy, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Microsoft .NET Framework 4.6 Targeting Pack, Version=4.6.00081, Publisher=Microsoft Corporation
Name=Windows SDK for Windows Store Apps Metadata, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Windows SDK Facade Windows WinMD Versioned, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=vs_clickoncesigntoolmsi, Version=16.0.28329, Publisher=Microsoft Corporation
Name=Windows SDK DirectX x86 Remote, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=WinRT Intellisense IoT - en-us, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=vs_communitymsires, Version=16.10.31213, Publisher=Microsoft Corporation
Name=icecap_collectionresourcesx64, Version=16.10.31306, Publisher=Microsoft Corporation
Name=Windows SDK Desktop Headers x86, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Microsoft Azure Storage Emulator - v5.10, Version=5.10.19227.2113, Publisher=Microsoft Corporation
Name=Launcher Prerequisites (x64), Version=1.0.0.0, Publisher=Epic Games, Inc.
Name=Windows SDK Modern Non-Versioned Developer Tools, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Windows SDK Redistributables, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=WinRT Intellisense Mobile - en-us, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Windows Software Development Kit - Windows 10.0.19041.685, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Microsoft .NET CoreRuntime For CoreCon, Version=1.0.0.0, Publisher=Microsoft Corporation
Name=Windows IoT Extension SDK Contracts, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Microsoft ASP.NET Web Tools Packages 16.0 - ENU, Version=1.0.21125.0, Publisher=Microsoft Corporation
Name=Java Auto Updater, Version=2.8.281.9, Publisher=Oracle Corporation
Name=Windows SDK for Windows Store Apps Tools, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Windows SDK Desktop Headers arm, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Microsoft .NET Host FX Resolver - 5.0.9 (x86), Version=40.36.30309, Publisher=Microsoft Corporation
Name=Universal CRT Extension SDK, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=vs_minshellmsi, Version=16.11.31503, Publisher=Microsoft Corporation
Name=Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.28.29910, Version=14.28.29910.0, Publisher=Microsoft Corporation
Name=Dell SupportAssist Remediation, Version=5.4.3.15135, Publisher=Dell Inc.
Name=Dell Digital Delivery Services, Version=4.0.92.0, Publisher=Dell Inc.
Name=Microsoft .NET Framework 4.5 Multi-Targeting Pack, Version=4.5.50710, Publisher=Microsoft Corporation
Name=ClickOnce Bootstrapper Package for Microsoft .NET Framework, Version=4.8.04162, Publisher=Microsoft Corporation
Name=Microsoft Windows Desktop Runtime - 3.1.18 (x86), Version=24.72.30314, Publisher=Microsoft Corporation
Name=Windows Team Extension SDK Contracts, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=MarkdownPad 2, Version=2.5.0.27920, Publisher=Apricity Software LLC
Name=Windows App Certification Kit x64, Version=10.1.19041.685, Publisher=Microsoft Corporation
Name=Intel(R) Dynamic Tuning, Version=8.7.10600.20700, Publisher=Intel Corporation
Name=Microsoft .NET Framework 4.5.1 Multi-Targeting Pack, Version=4.5.50932, Publisher=Microsoft Corporation
